ID ligne,ID commande,Date de commande,Date d'expédition,Statut commande,ID client,Nom du client,Segment,Ville,Région,Pays,Zone géographique,ID produit,Catégorie,Sous-catégorie,Nom du produit,Montant des ventes,Quantité,Remise,Profit
1,FR-20240213-4046,2024-02-13,2024-02-19,Normal,AQ-13357,Gabrielle-Antoinette Diallo,Grand public,Leleu-sur-Maillot,Guyane,France,Nord,MOB-ME-79495208,Mobilier,Meubles,Soit caractère,752.64,7,0.1,-263.42
2,FR-20231130-1373,2023-11-30,2023-12-02,Normal,OV-11895,Nicolas Giraud,Petite et moyenne entreprise,Camus-les-Bains,Guyane,France,Centre,FOU-ME-31336666,Fournitures de bureau,Meubles,Prochain fort,563.33,8,0.1,217.59
3,FR-20251004-4734,2025-10-04,2025-10-07,Silver,MH-11639,Denise Tanguy,Petite et moyenne entreprise,Royer-les-Bains,Nord-Pas-de-Calais,France,Centre,FOU-ST-56594002,Fournitures de bureau,Stockage,Société oser,557.24,1,0.0,-226.76
4,FR-20240505-1169,2024-05-05,2024-05-11,Normal,Jp-16685,Pierre Maurice,Entreprise,Bègue,Lorraine,France,Nord,MOB-ST-59205257,Mobilier,Stockage,Monter après,771.6,1,0.1,-12.18
5,FR-20251107-7956,2025-11-07,2025-11-14,Silver,cp-14280,Thibault François,Petite et moyenne entreprise,Clerc,Martinique,France,Centre,FOU-ST-22927561,Fournitures de bureau,Stockage,Course juger,915.63,7,0.4,-180.07
6,FR-20240823-4387,2024-08-23,2024-08-30,Silver,ob-12848,Éric Arnaud,Petite et moyenne entreprise,Sainte Camille,Lorraine,France,Centre,FOU-BI-11722351,Fournitures de bureau,Bibliothèques,Autre dimanche,983.05,5,0.0,132.31
7,FR-20240129-7806,2024-01-29,2024-02-03,Normal,PW-16605,Thibaut Delaunay,Grand public,Chrétien,Corse,France,Centre,MOB-AR-23824587,Mobilier,Art,Être après,766.52,5,0.4,-51.7
8,FR-20240830-6886,2024-08-30,2024-09-02,Premium,XS-17438,Antoinette Lombard du Benoit,Grand public,Robinboeuf,Franche-Comté,France,Nord,FOU-ME-23244027,Fournitures de bureau,Meubles,Sauvage sur,808.46,7,0.1,355.96
9,FR-20250925-6599,2025-09-25,2025-09-30,Premium,IK-18047,Rémy Martineau,Grand public,Sainte Victoire,Nord-Pas-de-Calais,France,Nord,MOB-ST-31159918,Mobilier,Stockage,L'un conduire,185.95,2,0.0,85.05
10,FR-20250929-6745,2025-09-29,2025-10-01,Silver,CZ-13257,Roland Bertrand,Entreprise,Albert,Poitou-Charentes,France,Nord,MOB-PA-27755674,Mobilier,Papier,Passé fuir,827.4,1,0.1,59.99
11,FR-20240711-4186,2024-07-11,2024-07-16,Premium,EX-14407,Aimé Perrin du Ferreira,Petite et moyenne entreprise,Saint InèsBourg,Province-Alpes-Côte d'Azur,France,Centre,FOU-ST-74702086,Fournitures de bureau,Stockage,Étaler rôle,190.47,8,0.0,-60.61
12,FR-20240723-4447,2024-07-23,2024-07-27,Premium,SS-18768,Sylvie Voisin,Entreprise,Bouchet,Polynésie française,France,Centre,FOU-ST-79780827,Fournitures de bureau,Stockage,Reprendre emporter,568.41,9,0.0,269.43
13,FR-20241222-7955,2024-12-22,2024-12-27,Normal,gL-16919,Guillaume-Tristan Vaillant,Grand public,Joubertdan,Guadeloupe,France,Nord,FOU-AR-98225318,Fournitures de bureau,Art,Vaste résoudre,957.08,2,0.4,-257.94
14,FR-20250219-8018,2025-02-19,2025-02-24,Normal,gf-10553,Émile Gomez,Petite et moyenne entreprise,Besnard,Bretagne,France,Centre,FOU-PA-26402370,Fournitures de bureau,Papier,Énergie vers,255.49,3,0.0,13.1
15,FR-20250112-2023,2025-01-12,2025-01-17,Silver,Vv-15347,Océane-Anastasie Moreno,Grand public,Maillot-sur-Raynaud,Champagne-Ardenne,France,Centre,MOB-ST-61922740,Mobilier,Stockage,Mot air,472.53,1,0.1,99.71
16,FR-20240419-7480,2024-04-19,2024-04-22,Premium,jn-17163,Luc Grenier,Grand public,Benoitnec,Nouvelle-Calédonie,France,Nord,FOU-AR-12628110,Fournitures de bureau,Art,Satisfaire relever,893.99,7,0.1,226.14
17,FR-20250228-3771,2025-02-28,2025-03-02,Silver,NL-10555,Margot Gallet,Petite et moyenne entreprise,Auger-sur-Mer,Pays-de-Loire,France,Centre,MOB-AR-24389318,Mobilier,Art,Marche émotion,383.41,3,0.0,92.05
18,FR-20240405-4085,2024-04-05,2024-04-07,Silver,hI-17166,Margot Martel de Fischer,Entreprise,Sauvage-sur-Mer,Martinique,France,Centre,MOB-BI-85292124,Mobilier,Bibliothèques,Tout soutenir,360.3,9,0.4,92.48
19,FR-20241126-6191,2024-11-26,2024-11-30,Silver,yz-14052,Jeanne Petitjean,Entreprise,Sainte Célina,Champagne-Ardenne,France,Centre,MOB-PA-47710913,Mobilier,Papier,Bientôt tout,628.94,3,0.0,-214.53
20,FR-20241019-3057,2024-10-19,2024-10-21,Premium,SN-10858,Alexandrie du Verdier,Entreprise,Sainte Pauldan,Réunion,France,Centre,MOB-ST-13067081,Mobilier,Stockage,Oeil relever,824.97,6,0.1,264.96
21,FR-20241015-7787,2024-10-15,2024-10-20,Silver,hS-13377,Sébastien Costa,Petite et moyenne entreprise,De Oliveira,Bourgogne,France,Centre,MOB-PA-92680360,Mobilier,Papier,Faute juste,247.25,8,0.0,54.81
22,FR-20241215-1134,2024-12-15,2024-12-17,Premium,gF-11143,Auguste Lombard,Grand public,Pottier,Auvergne,France,Centre,FOU-PA-11244159,Fournitures de bureau,Papier,Inquiétude papa,470.44,9,0.0,90.83
23,FR-20240606-3898,2024-06-06,2024-06-09,Normal,ih-12183,Henri Blin,Entreprise,Gomesnec,Languedoc-Roussillon,France,Centre,MOB-BI-53516327,Mobilier,Bibliothèques,Beauté nord,620.3,2,0.1,-120.77
24,FR-20241027-3989,2024-10-27,2024-11-03,Normal,eK-13297,Alexandrie Evrard-Merle,Entreprise,Saint Manon,Champagne-Ardenne,France,Centre,MOB-BI-26211384,Mobilier,Bibliothèques,Regarder plein,95.57,6,0.4,24.02
